Title,CPI INDEX 07.1 : PURCHASE OF VEHICLES 2015=100,CPI INDEX 05.6 : Goods and services for routine maintenance 2015=100,CPI INDEX 05.5 : TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN 2015=100,"CPI INDEX 05.4 : GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS 2015=100","CPI INDEX 05.3 : Household appliances, fitting and repairs 2015=100",CPI INDEX 05.2 : HOUSEHOLD TEXTILES 2015=100,"CPI INDEX 05.1 : Furniture, furnishings and carpets 2015=100","CPI INDEX 04.5 : ELECTRICITY, GAS AND OTHER FUELS 2015=100",CPI INDEX 04.4 : Water supply and misc. services for the dwelling 2015=100,CPI INDEX 04.3 : REGULAR MAINTENANCE AND REPAIR OF THE DWELLING 2015=100,CPI INDEX 04.1 : ACTUAL RENTS FOR HOUSING 2015=100,CPI INDEX 03.2 : FOOTWEAR INCLUDING REPAIRS 2015=100,CPI INDEX 03.1 : CLOTHING 2015=100,CPI INDEX 02.2 : TOBACCO 2015=100,CPI INDEX 02.1 : ALCOHOLIC BEVERAGES 2015=100,"RPI: Ave price - Salmon fillets, per Kg",CPI INDEX 06 : HEALTH 2015=100,"CPI INDEX 05 : FURN, HH EQUIP & ROUTINE REPAIR OF HOUSE 2015=100","CPI INDEX 04 : HOUSING, WATER AND FUELS 2015=100",CPI INDEX 01.2 : NON-ALCOHOLIC BEVERAGES 2015=100,CPI INDEX 03 : CLOTHING AND FOOTWEAR 2015=100,CPI INDEX 01.1 : FOOD 2015=100,"CPI INDEX 02:ALCOHOLIC BEVERAGES,TOBACCO & NARCOTICS 2015=100",CPI INDEX 12 : MISCELLANEOUS GOODS AND SERVICES 2015=100,CPI INDEX 01 : FOOD AND NON-ALCOHOLIC BEVERAGES 2015=100,"CPI INDEX 11 : HOTELS, CAFES AND RESTAURANTS 2015=100",CPI INDEX 00: ALL ITEMS 2015=100,CPI INDEX 10 : EDUCATION 2015=100,CPI INDEX 09 : RECREATION & CULTURE 2015=100,CPI INDEX 08 : COMMUNICATION 2015=100,CPI INDEX 07 : TRANSPORT 2015=100
1988 JAN,87.8,41.1,69.4,81.4,108.1,119.7,62.3,29.3,21.6,39.6,31.1,153.5,201.2,16.3,54.3,,37.9,68.9,31.7,45.5,192.5,48.2,27.3,45.3,48,32.9,48.4,12.3,73.7,98.1,40.5
1988 FEB,87.5,41.3,69.7,81.8,108.4,121.1,62.8,29.2,21.6,39.8,31.2,154.1,202.6,16.3,54.7,,37.9,69.3,31.7,45.9,193.7,48.5,27.4,45.5,48.3,33,48.6,12.3,73.9,98,40.5
1988 MAR,88.5,41.5,69.9,82.1,108.8,122.3,63.7,29.1,21.6,39.9,31.2,155.7,204.1,16.3,55,,38.5,69.8,31.7,46.2,195.3,48.6,27.5,45.6,48.4,33.1,48.7,12.3,74,98.1,40.7
1988 APR,89.9,41.7,69.7,82.7,109.3,122.6,64.1,29.5,23.2,40.2,32.9,156.2,204.5,16.6,55.7,,38.7,70.1,32.5,46.6,195.6,48.9,27.9,45.8,48.7,33.5,49.3,12.4,75.3,98.1,41.2
1988 MAY,90.4,41.8,69.9,83.2,110,122.9,64.5,30,23.2,40.3,33,156.7,208,16.6,55.9,,38.8,70.5,32.8,47.2,198.4,49,28,46,48.8,33.7,49.5,12.4,75.6,98,41.4
1988 JUN,91.4,42.1,70.3,83.2,109.8,123.1,64.6,30.5,23.2,40.4,33.1,156.7,208.9,16.6,56,,38.9,70.6,33.1,47.7,199.1,49,28,46.2,48.9,33.8,49.7,12.4,75.6,98,41.7
1988 JUL,92.2,42.8,70.4,83.6,108.9,121.8,64.2,30.8,23.2,40.7,33.2,156.1,204.4,16.6,56,,39,70.5,33.4,48.1,195.6,48.5,28,46.6,48.5,33.9,49.7,12.4,75.7,98,42
1988 AUG,92.9,43.1,70.8,84.2,109.3,122.1,64.4,30.8,23.2,40.9,33.2,157.2,204.3,16.6,56.1,,39.2,70.9,33.4,48.5,195.8,48.7,28,46.8,48.7,34.1,49.9,12.4,75.8,98,42.1
1988 SEP,93.4,43.4,70.9,84.7,110.2,122.9,65,30.8,23.2,41,33.3,158.3,207.6,16.7,56.2,,39.3,71.4,33.4,48.8,198.6,48.9,28.1,47,48.9,34.4,50.1,13.1,75.8,98.6,42.3
1988 OCT,93.8,43.7,71.1,84.5,110.4,123.3,65.3,30.9,23.2,41.1,33.6,161.8,211.6,16.7,56.4,,39.6,71.6,33.6,48.9,202.5,48.9,28.2,47.2,49,34.5,50.3,13.1,76.1,98.6,42.4
