Date,Price,Open,High,Low,Change %
2016-01-01,1.3673,1.3624,1.3687,1.3605,0.37%
2016-01-02,1.3622,1.3503,1.3627,1.3493,0.90%
2016-01-03,1.35,1.345,1.3524,1.3447,0.38%
2016-01-04,1.3449,1.3546,1.3577,1.3429,-0.73%
2016-01-05,1.3548,1.3557,1.3591,1.355,-0.05%
2016-01-06,1.3555,1.3496,1.3621,1.3489,0.47%
2016-01-07,1.3492,1.3362,1.3572,1.3352,0.99%
2016-01-08,1.336,1.3465,1.347,1.3304,-0.77%
2016-01-09,1.3463,1.3475,1.3498,1.3189,-0.42%
2016-01-10,1.352,1.3586,1.3592,1.3471,-0.46%
2016-01-11,1.3582,1.351,1.3626,1.3494,0.56%
2016-01-12,1.3507,1.346,1.3554,1.3434,0.34%
2016-01-13,1.3461,1.3323,1.347,1.328,1.04%
2016-01-14,1.3322,1.3281,1.3447,1.3274,0.75%
2016-01-15,1.3223,1.3296,1.3326,1.3134,-0.53%
2016-01-16,1.3293,1.3403,1.3414,1.3246,-0.77%
2016-01-17,1.3396,1.3355,1.3478,1.335,0.32%
2016-01-18,1.3353,1.3378,1.3393,1.329,-0.17%
2016-01-19,1.3376,1.3449,1.3449,1.3225,-0.45%
2016-01-20,1.3437,1.3447,1.3541,1.3411,-0.11%
2016-01-21,1.3452,1.3361,1.35,1.3353,0.67%
2016-01-22,1.3363,1.3423,1.3442,1.3287,-0.39%
2016-01-23,1.3415,1.3325,1.3442,1.3314,0.71%
2016-01-24,1.3321,1.3314,1.3386,1.3304,0.05%
2016-01-25,1.3314,1.3356,1.3383,1.3288,-0.31%
2016-01-26,1.3355,1.3376,1.3399,1.3321,-0.20%
2016-01-27,1.3382,1.3362,1.3395,1.3304,0.19%
2016-01-28,1.3356,1.3325,1.3382,1.3292,0.25%
2016-01-29,1.3323,1.3274,1.3398,1.3263,0.31%
2016-01-30,1.3282,1.3261,1.3297,1.3245,0.16%
2016-01-31,1.3261,1.3275,1.3281,1.3196,-0.06%
2016-02-01,1.3269,1.3244,1.3313,1.3242,0.21%
2016-02-02,1.3241,1.3195,1.3274,1.3187,0.38%
2016-02-03,1.3191,1.3179,1.3243,1.3162,0.04%
2016-02-04,1.3186,1.3118,1.3203,1.3109,0.55%
2016-02-05,1.3114,1.3222,1.323,1.3105,-0.81%
2016-02-06,1.3221,1.327,1.331,1.3189,-0.38%
2016-02-07,1.3271,1.3166,1.3278,1.3155,0.82%
2016-02-08,1.3163,1.3163,1.3209,1.3118,0.05%
2016-02-09,1.3156,1.3144,1.3178,1.3092,0.11%
2016-02-10,1.3142,1.2989,1.3155,1.293,1.21%
2016-02-11,1.2985,1.306,1.314,1.2914,-0.56%
2016-02-12,1.3058,1.2916,1.308,1.2903,1.13%
2016-02-13,1.2912,1.2946,1.2954,1.2853,-0.22%
2016-02-14,1.2941,1.2929,1.2989,1.2898,0.12%
2016-02-15,1.2926,1.2983,1.3027,1.2881,-0.42%
2016-02-16,1.2981,1.3046,1.3065,1.2917,-0.48%
2016-02-17,1.3043,1.3019,1.3081,1.3001,0.15%
2016-02-18,1.3023,1.3048,1.3075,1.2993,-0.13%
2016-02-19,1.304,1.3083,1.3125,1.3018,-0.31%
2016-02-20,1.3081,1.3151,1.3155,1.3069,-0.48%
2016-02-21,1.3144,1.2945,1.3178,1.2937,1.55%
2016-02-22,1.2944,1.2952,1.298,1.291,-0.02%
2016-02-23,1.2947,1.2915,1.3025,1.2889,0.26%
2016-02-24,1.2913,1.2916,1.2963,1.2863,-0.01%
2016-02-25,1.2914,1.301,1.3031,1.289,-0.75%
2016-02-26,1.3011,1.2938,1.3066,1.2862,0.60%
2016-02-27,1.2934,1.3064,1.3074,1.2922,-1.00%
2016-02-28,1.3064,1.3028,1.3084,1.3004,0.14%
2016-02-29,1.3046,1.2935,1.3051,1.292,0.87%
2016-03-01,1.2933,1.2919,1.2972,1.289,0.12%
2016-03-02,1.2918,1.2886,1.2931,1.2845,0.32%
2016-03-03,1.2877,1.2978,1.3008,1.2866,-0.77%
2016-03-04,1.2977,1.2933,1.2991,1.2899,0.36%
2016-03-05,1.2931,1.2893,1.2955,1.2837,0.33%
2016-03-06,1.2889,1.2919,1.298,1.2818,-0.21%
2016-03-07,1.2916,1.2864,1.2944,1.2806,0.43%
2016-03-08,1.2861,1.2836,1.2903,1.2822,0.27%
2016-03-09,1.2827,1.2747,1.2927,1.2744,0.64%
2016-03-10,1.2745,1.2754,1.2806,1.2687,-0.03%
2016-03-11,1.2749,1.2724,1.2782,1.2689,0.21%
2016-03-12,1.2722,1.2733,1.2778,1.2674,-0.07%
2016-03-13,1.2731,1.2812,1.2868,1.271,-0.65%
2016-03-14,1.2814,1.2924,1.2967,1.2774,-0.78%
2016-03-15,1.2915,1.2973,1.3001,1.2915,-0.44%
2016-03-16,1.2972,1.2966,1.3,1.2865,0.05%
2016-03-17,1.2965,1.2889,1.3008,1.2874,0.61%
2016-03-18,1.2886,1.2841,1.2927,1.2815,0.33%
2016-03-19,1.2844,1.2803,1.292,1.2775,0.40%
2016-03-20,1.2793,1.28,1.2866,1.2763,-0.08%
2016-03-21,1.2803,1.3003,1.3036,1.2773,-1.52%
2016-03-22,1.3,1.2981,1.3024,1.2884,0.10%
2016-03-23,1.2987,1.317,1.318,1.298,-1.36%
2016-03-24,1.3166,1.3274,1.3285,1.314,-0.87%
2016-03-25,1.3282,1.3282,1.332,1.3175,0.02%
2016-03-26,1.328,1.3349,1.3358,1.3242,-0.54%
2016-03-27,1.3352,1.3383,1.3404,1.3283,-0.22%
2016-03-28,1.3381,1.3367,1.3484,1.3355,0.09%
2016-03-29,1.3369,1.3342,1.3396,1.3301,0.15%
2016-03-30,1.3349,1.3208,1.3357,1.3185,1.14%
2016-03-31,1.3198,1.3207,1.3285,1.3162,-0.08%
2016-04-01,1.3208,1.3153,1.322,1.3117,0.44%
2016-04-02,1.315,1.3068,1.3171,1.3054,0.67%
2016-04-03,1.3063,1.3086,1.3149,1.3052,-0.18%
2016-04-04,1.3087,1.3216,1.3256,1.3059,-0.95%
2016-04-05,1.3212,1.3096,1.3226,1.3063,0.87%
2016-04-06,1.3098,1.3239,1.3269,1.3094,-1.04%
2016-04-07,1.3235,1.3099,1.325,1.3095,1.02%
2016-04-08,1.3102,1.3087,1.3123,1.3074,0.14%
2016-04-09,1.3084,1.306,1.3144,1.3047,0.16%
2016-04-10,1.3063,1.3035,1.3125,1.303,0.24%
2016-04-11,1.3032,1.3053,1.3068,1.3004,-0.12%
2016-04-12,1.3048,1.3078,1.3132,1.3041,-0.17%
2016-04-13,1.307,1.3042,1.3104,1.3018,0.15%
2016-04-14,1.3051,1.3153,1.3155,1.3009,-0.72%
2016-04-15,1.3146,1.3114,1.3187,1.3111,0.26%
2016-04-16,1.3112,1.3073,1.3162,1.3056,0.40%
2016-04-17,1.306,1.3075,1.3109,1.2981,-0.09%
2016-04-18,1.3072,1.3082,1.3113,1.3004,-0.12%
2016-04-19,1.3088,1.3098,1.3171,1.3069,-0.04%
2016-04-20,1.3093,1.2997,1.3103,1.2944,0.75%
2016-04-21,1.2995,1.2932,1.3013,1.2911,0.50%
2016-04-22,1.293,1.2882,1.2953,1.2838,0.38%
2016-04-23,1.2881,1.2786,1.2903,1.278,0.72%
2016-04-24,1.2789,1.2741,1.2804,1.2717,0.39%
2016-04-25,1.2739,1.2734,1.2761,1.2672,0.05%
2016-04-26,1.2732,1.2733,1.2744,1.2644,0.03%
2016-04-27,1.2728,1.2658,1.2768,1.265,0.54%
2016-04-28,1.266,1.2565,1.2666,1.2517,0.76%
