Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,3.47952,3.53102,3.46925,3.50898,3.50898,2791170
2016-01-02,3.51528,3.52712,3.49219,3.50216,3.50216,3020260
2016-01-03,3.504,3.50643,3.45086,3.48307,3.48307,2406150
2016-01-04,3.4791,3.50723,3.47615,3.49539,3.49539,3309740
2016-01-05,3.492,3.50819,3.45372,3.46967,3.46967,2104650
2016-01-06,3.46706,3.46786,3.4448,3.45356,3.45356,2208860
2016-01-07,3.45007,3.61155,3.44269,3.60414,3.60414,4560680
2016-01-08,3.5968,3.64142,3.53358,3.56888,3.56888,3277990
2016-01-09,3.57435,3.58557,3.5436,3.56057,3.56057,2934720
2016-01-10,3.55916,3.56019,3.49682,3.53672,3.53672,2462000
2016-01-11,3.52627,3.56922,3.52627,3.55662,3.55662,2931030
2016-01-12,3.55302,3.55617,3.49368,3.49368,3.49368,4566050
2016-01-13,3.48998,3.4921,3.43281,3.47602,3.47602,6745630
2016-01-14,3.47093,3.48096,3.44868,3.46599,3.46599,2044890
2016-01-15,3.46404,3.46441,2.99678,2.99678,2.99678,5117640
2016-01-16,2.96572,3.10718,2.91946,3.08694,3.08694,4170270
2016-01-17,3.08732,3.10022,3.02476,3.02619,3.02619,1905660
2016-01-18,3.01955,3.05727,2.97763,3.04896,3.04896,2304070
2016-01-19,3.04766,3.05534,2.99417,3.01744,3.01744,1626900
2016-01-20,3.0148,3.4345,2.9907,3.38853,3.38853,4438610
2016-01-21,3.38423,3.40186,3.20536,3.22078,3.22078,3665110
2016-01-22,3.23105,3.24319,3.04892,3.07657,3.07657,3589150
2016-01-23,3.08203,3.14757,3.07814,3.10348,3.10348,2384900
2016-01-24,3.11351,3.20824,3.09979,3.181,3.181,1806510
2016-01-25,3.18795,3.18795,3.10505,3.12728,3.12728,1940070
2016-01-26,3.12537,3.17118,3.12332,3.15482,3.15482,2926650
2016-01-27,3.15935,3.32019,3.15652,3.28745,3.28745,5341690
2016-01-28,3.29286,3.30034,3.11214,3.12016,3.12016,3075380
2016-01-29,3.1384,3.13974,3.06114,3.11138,3.11138,2555880
2016-01-30,3.11813,3.12382,3.07512,3.0808,3.0808,1298980
2016-01-31,3.09693,3.11387,3.04366,3.05216,3.05216,1450600
2016-02-01,3.07343,3.10203,3.05749,3.07724,3.07724,1502430
