Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,1,1,1,1,1,4876
2016-01-02,1,1,1,1,1,4701
2016-01-03,1,1,1,1,1,1389
2016-01-04,1,1,1,1,1,81182
2016-01-05,1,1.00025,1,1.00025,1.00025,1350
2016-01-06,1.00025,1.00031,1,1,1,541019
2016-01-07,1,1,1,1,1,25544
2016-01-08,1,1,1,1,1,13420
2016-01-09,1,1,1,1,1,3359
2016-01-10,1,1,1,1,1,66196
2016-01-11,1,1,1,1,1,118900
2016-01-12,1,1,1,1,1,11714
2016-01-13,1,1.00045,1,1.00045,1.00045,9873
2016-01-14,1.00046,1.00255,1,1,1,20292
2016-01-15,1,1,1,1,1,95995
2016-01-16,1,1.00044,0.999692,1.00041,1.00041,74254
2016-01-17,1.00039,1.00045,1,1,1,17361
2016-01-18,1,1,1,1,1,160834
2016-01-19,1,1,1,1,1,9857
2016-01-20,1,1,1,1,1,17069
2016-01-21,1,1,1,1,1,35772
2016-01-22,1,1.00007,1,1.00007,1.00007,26682
2016-01-23,1.00007,1.00036,1.00007,1.00015,1.00015,28438
2016-01-24,1.00012,1.00012,1.00001,1.00001,1.00001,21139
2016-01-25,1.00001,1.00001,1.00001,1.00001,1.00001,44570
2016-01-26,1.00001,1.00001,1,1,1,69162
2016-01-27,1,1,1,1,1,37598
2016-01-28,1,1,0.999926,0.999999,0.999999,155498
2016-01-29,0.999999,1,0.999976,0.999978,0.999978,73399
2016-01-30,0.999978,1,0.999968,1,1,6307
2016-01-31,1,1,0.999999,0.999999,0.999999,10385
2016-02-01,0.999999,1,0.999701,0.999969,0.999969,76317
2016-02-02,0.999969,1,0.999969,1,1,7113
2016-02-03,1,1,1,1,1,104733
2016-02-04,1,1,1,1,1,150392
2016-02-05,1,1,1,1,1,97341
2016-02-06,1,1,1,1,1,715070
2016-02-07,1,1,1,1,1,27176
2016-02-08,1,1,1,1,1,36002
2016-02-09,1,1,1,1,1,36351
2016-02-10,1,1,1,1,1,125936
2016-02-11,1,1,1,1,1,65354
2016-02-12,1,1,1,1,1,407856
2016-02-13,1,1,1,1,1,98085
2016-02-14,1,1.00105,0.999664,1.00089,1.00089,52365
2016-02-15,1.00087,1.00107,1.00001,1.00001,1.00001,95454
2016-02-16,1.00001,1.00001,1.00001,1.00001,1.00001,58641
2016-02-17,1.00001,1.00001,1,1,1,169298
2016-02-18,1,1,1,1,1,71827
2016-02-19,1,1,1,1,1,50866
2016-02-20,1,1,1,1,1,57051
2016-02-21,1,1,1,1,1,55018
2016-02-22,1,1,1,1,1,46520
2016-02-23,1,1,1,1,1,107259
2016-02-24,1,1,0.999844,0.999844,0.999844,85160
2016-02-25,0.999844,1,0.999749,1,1,433922
2016-02-26,1,1,1,1,1,102891
2016-02-27,1,1,1,1,1,96721
2016-02-28,1,1,1,1,1,114084
2016-02-29,1,1.00002,1,1.00002,1.00002,77532
2016-03-01,1.00002,1.00032,0.999981,0.999991,0.999991,143221
2016-03-02,0.999991,0.999994,0.999962,0.999962,0.999962,61533
2016-03-03,0.999961,0.999999,0.999953,0.999999,0.999999,179492
2016-03-04,0.999999,1,0.999999,1,1,150575
2016-03-05,1,1,1,1,1,354905
2016-03-06,1,1,0.999996,0.999998,0.999998,279531
2016-03-07,0.999998,0.999998,0.999998,0.999998,0.999998,143086
2016-03-08,0.999998,1,0.999998,1,1,144215
2016-03-09,1,1,0.999895,0.999895,0.999895,158280
2016-03-10,0.999895,0.999994,0.999895,0.999994,0.999994,126353
2016-03-11,0.999994,0.999995,0.999994,0.999995,0.999995,92528
2016-03-12,0.999995,0.999995,0.999822,0.999895,0.999895,253278
2016-03-13,0.999896,0.999987,0.999896,0.999918,0.999918,209067
2016-03-14,0.999917,0.999994,0.999914,0.999994,0.999994,369834
2016-03-15,0.999994,1,0.999994,1,1,72352
2016-03-16,1,1,1,1,1,74773
2016-03-17,1,1,0.999934,0.999983,0.999983,219091
2016-03-18,0.999983,0.999998,0.999982,0.999998,0.999998,326978
2016-03-19,0.999998,0.999998,0.999998,0.999998,0.999998,119685
2016-03-20,0.999998,0.999998,0.999998,0.999998,0.999998,82858
2016-03-21,0.999998,0.999999,0.999998,0.999999,0.999999,188116
2016-03-22,0.999999,0.999999,0.999999,0.999999,0.999999,118249
2016-03-23,0.999999,0.999999,0.999999,0.999999,0.999999,82970
2016-03-24,0.999999,0.999999,0.999972,0.999972,0.999972,108214
2016-03-25,0.999973,1,0.999973,1,1,32068
2016-03-26,1,1,1,1,1,43612
2016-03-27,1,1,1,1,1,111330
2016-03-28,1,1,1,1,1,112757
2016-03-29,1,1,1,1,1,1042210
2016-03-30,1,1,1,1,1,204201
2016-03-31,1,1,1,1,1,147747
